step,chosen_action0,chosen_action1,x,y,reward,distance_to_goal,latent_cost,planned_terminal_x,planned_terminal_y,planned_terminal_reward,planned_terminal_cost
0.0,-0.8961376547813416,0.33647993206977844,-0.8169171793525946,-0.5248740864085631,0.0,1.900153636932373,0.367581307888031,nan,nan,nan,nan
1.0,0.07650051265954971,-0.4380400478839874,-0.9278361750630554,-0.5137912378932901,0.0,1.9866520166397095,0.3346416652202606,nan,nan,nan,nan
2.0,0.2865903079509735,1.0,-0.979487228095939,-0.47632060791460884,0.0,2.0110843181610107,0.2656078338623047,nan,nan,nan,nan
3.0,0.8386239409446716,-0.6883009672164917,-0.886869363440809,-0.4817392891153578,0.0,1.9348971843719482,0.3620295524597168,nan,nan,nan,nan
4.0,0.7759093642234802,0.11126405745744705,-0.6915540525914224,-0.5197403568882865,0.034942516566409565,1.7951107025146484,0.37978899478912354,nan,nan,nan,nan
5.0,-0.1573820412158966,-0.05890749394893646,-0.47303278759944645,-0.5532417809313597,0.11451139866517668,1.647104024887085,0.3818519413471222,nan,nan,nan,nan
6.0,0.10534699261188507,-0.09490866959095001,-0.26893056464007126,-0.5953851980415975,0.1758475050137105,1.5330122709274292,0.3514910936355591,nan,nan,nan,nan
7.0,-1.0,0.11239716410636902,-0.14520803868480103,-0.6323372406795187,0.20272886331605822,1.4830100536346436,0.254416286945343,nan,nan,nan,nan
8.0,0.9609532356262207,-0.1570953130722046,-0.016882787478812333,-0.6721155148048445,0.22434525679881445,1.4428012371063232,0.36755436658859253,nan,nan,nan,nan
9.0,0.4869578778743744,0.5144365429878235,0.1977852811896792,-0.6805434169146666,0.2748972632347185,1.3487690687179565,0.373822420835495,nan,nan,nan,nan
10.0,-0.49374786019325256,0.52690190076828,0.39210271389311147,-0.6183297478352185,0.3430925703388674,1.2219184637069702,0.34928783774375916,nan,nan,nan,nan
11.0,1.0,0.30846503376960754,0.6200933409222154,-0.5051976882053972,0.4284394361777867,1.0631641149520874,0.3302259147167206,nan,nan,nan,nan
12.0,-0.05608615651726723,0.1128259226679802,0.8903472913473236,-0.3718315847814715,0.49870950587209595,0.9324542284011841,0.2848625183105469,nan,nan,nan,nan
13.0,0.9415419697761536,0.3124166429042816,0.9015643169768401,-0.21623171341986014,0.5800898798894853,0.7810779809951782,0.25453200936317444,nan,nan,nan,nan
14.0,0.05993993207812309,-0.21090085804462433,0.9001214724739623,-0.06683461339110047,0.6587080587806249,0.6348397135734558,0.260426789522171,nan,nan,nan,nan
15.0,-0.2071617692708969,0.29922792315483093,0.8843887328063758,0.08348570251582965,0.739001495990089,0.4854852855205536,0.19520989060401917,nan,nan,nan,nan
