step,chosen_action0,chosen_action1,x,y,reward,distance_to_goal,latent_cost,planned_terminal_x,planned_terminal_y,planned_terminal_reward,planned_terminal_cost
0.0,1.0,0.0,-0.6753271202302927,-0.550000011920929,0.03208146676371193,1.800432562828064,0.4429992437362671,0.9002816677093506,0.4993930459022522,0.9147502183914185,0.5928083658218384
1.0,1.0,0.0,-0.4705051404062344,-0.550000011920929,0.11668767555517079,1.6430559158325195,0.4227098226547241,0.9002805948257446,0.4993930459022522,0.9147507548332214,0.5929156541824341
2.0,1.0,0.0,-0.14319506054320974,-0.550000011920929,0.23823342559556182,1.416967749595642,0.46580153703689575,0.9002805948257446,0.4993930459022522,0.9147507548332214,0.5929156541824341
3.0,1.0,0.0,0.29939307076151045,-0.550000011920929,0.36094210397230453,1.1887164115905762,0.47879594564437866,0.9002805948257446,0.4993930459022522,0.9147507548332214,0.5929156541824341
4.0,0.0,1.0,0.7758007320895286,-0.4753271321512217,0.4486061746970096,1.0256518125534058,0.45468276739120483,0.888590931892395,0.9005401730537415,0.7973543405532837,0.8008085489273071
5.0,0.0,0.0,0.8924657862282936,-0.3451780320968706,0.512692812281282,0.9064437747001648,0.4327164888381958,0.727266788482666,0.37483781576156616,0.9050424695014954,0.6421257257461548
6.0,-0.858651876449585,-0.983780562877655,0.800244355411792,-0.2961516597494421,0.5443047754082634,0.8476421236991882,0.4886448383331299,0.7392386794090271,0.390246719121933,0.9139214754104614,0.6484448313713074
7.0,0.5163867473602295,0.7622801661491394,0.7006025084495655,-0.2519901080195493,0.5680303784105745,0.8035099506378174,0.4680676758289337,0.7118366956710815,0.4399607181549072,0.9373857378959656,0.6781443953514099
8.0,0.30000001192092896,1.0,0.6601447272216567,-0.09011615284539393,0.6524974856945908,0.6463920474052429,0.40949738025665283,0.6641518473625183,0.8125449419021606,0.8515009880065918,0.674704909324646
9.0,-0.48360151052474976,1.0,0.6039180188326583,0.19677396301022365,0.7945056731048565,0.38224154710769653,0.3682253062725067,0.79327791929245,0.8198139071464539,0.8530930280685425,0.6793885231018066
10.0,0.2078048586845398,-0.7280604243278503,0.5375643358663451,0.4722821327643396,0.8783911079369379,0.22620561718940735,0.4076099991798401,0.8554650545120239,0.7148725390434265,0.8947809338569641,0.5516642928123474
11.0,0.06510170549154282,1.0,0.4924194107462987,0.7626556518532424,0.8204290703116623,0.3340212404727936,0.4048871099948883,0.9004651308059692,0.7227143049240112,0.8768548369407654,0.5095601081848145
12.0,0.6326982378959656,0.8049963116645813,0.5010750128189967,0.9019097413087367,0.7682660851298662,0.43105000257492065,0.4859486222267151,0.6234320402145386,0.46962791681289673,0.9193969368934631,0.50011146068573
13.0,0.45459315180778503,-1.0,0.5810476226673795,0.8217892213667184,0.8279549393147644,0.320022314786911,0.4762248694896698,0.8903940320014954,0.5525727868080139,0.9245110154151917,0.5039113759994507
14.0,1.0,0.7484385371208191,0.7582029329551667,0.7424012078847919,0.8964705307640559,0.19257594645023346,0.5275788307189941,0.9006047248840332,0.44352391362190247,0.9008432626724243,0.5754165649414062
15.0,0.5498797297477722,-0.18415795266628265,0.9038465941121907,0.6987449213258894,0.8849556192170415,0.21399492025375366,0.30758240818977356,0.8820980787277222,0.5381892323493958,0.92870032787323,0.5068570971488953
